Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Žvirbliukai,priešmokyklinė,-,24,0,2015-2016
Gandriukai,darželio,-,24,0,2015-2016
Geniukai,darželio,-,24,0,2015-2016
Papūgiukai,priešmokyklinė,-,24,0,2015-2016
Ančiukai,darželio,-,26,0,2015-2016
Pelėdžiukai,darželio,-,26,0,2015-2016
Gulbiukai,darželio,-,23,0,2015-2016
Zyliukai,darželio,-,26,0,2015-2016
Pingviniukai,darželio,-,22,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Volungėlė“,12,273,0,-,
Kauno lopšelis-darželis „Boružėlė“,,,,,
Žiogelių,lopšelio,-,13,0,2015-2016
Saulučių,lopšelio,-,15,0,2015-2016
Zuikučių,darželio,-,20,0,2015-2016
Žirniukų,darželio,-,23,0,2015-2016
Boružėlių,darželio,-,17,0,2015-2016
Bitučių,darželio,-,22,0,2015-2016
Ežiukų,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Boružėlė“,7,130,0,-,
Kauno lopšelis-darželis „Žara“,,,,,
Kodėlčiukai,darželio,-,19,0,2015-2016
Drugeliai,darželio,-,19,0,2015-2016
Pabiručiai,darželio,-,19,0,2015-2016
Paukšteliai,darželio,-,19,0,2015-2016
Kiškučiai,darželio,-,19,0,2015-2016
Smalsučiai,priešmokyklinė,-,19,0,2015-2016
Ežiukai,priešmokyklinė,-,25,0,2015-2016
Ančiukai,lopšelio,-,16,0,2015-2016
Nykštukai,lopšelio,-,15,0,2015-2016
Pumpurėliai,lopšelio,-,15,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Žara“,10,185,0,-,
Kauno lopšelis-darželis „Aušrinė“,,,,,
Kūdikiai,lopšelio,-,6,0,2015-2016
Žiogeliai,lopšelio,-,16,0,2015-2016
Saulės zuikučiai,lopšelio,-,15,0,2015-2016
Kūlverstukai,darželio,-,23,0,2015-2016
Kibildukai,darželio,-,23,0,2015-2016
Meškučiai,priešmokyklinė,-,23,0,2015-2016
Žiedeliai,darželio,-,23,0,2015-2016
Vaivorykštė,darželio,-,24,0,2015-2016
Pumpurėliai,darželio,-,24,0,2015-2016
Smalsučiai,darželio,-,24,0,2015-2016
Bitutė,priešmokyklinė,-,24,0,2015-2016
Voveriukai,priešmokyklinė,-,24,0,2015-2016
Saulutė,darželio,-,23,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Aušrinė“,13,272,0,-,
Kauno lopšelis-darželis „Girinukas“,,,,,
Pumpurėlių,lopšelio,-,15,0,2015-2016
Montesori,darželio,-,20,0,2015-2016
Žiogelių,darželio,-,10,0,2015-2016
Boružėlių,darželio,-,20,0,2015-2016
Meškiukų,darželio,-,20,0,2015-2016
Gandriukų,darželio,-,20,0,2015-2016
Kankorėžiukų,darželio,-,20,0,2015-2016
Skruzdėliukų,darželio,-,20,0,2015-2016
Spindulėlių,priešmokyklinė,-,20,0,2015-2016
Giliukų,darželio,-,20,0,2015-2016
Voveriukų,priešmokyklinė,-,20,0,2015-2016
Pelėdžiukų,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Girinukas“,12,225,0,-,
Kauno lopšelis-darželis „Gandriukas“,,,,,
ANČIUKŲ GRUPĖ,lopšelio,-,15,0,2015-2016
GENELIŲ GRUPĖ,priešmokyklinė,-,19,0,2015-2016
LAKŠTUČIŲ GRUPĖ,darželio,-,19,0,2015-2016
PELĖDŽIUKŲ GRUPĖ,darželio,-,19,0,2015-2016
GULBIUKŲ GRUPĖ,darželio,-,19,0,2015-2016
VOLUNGĖLIŲ GRUPĖ,darželio,-,19,0,2015-2016
STRAZDELIŲ GRUPĖ,darželio,-,19,0,2015-2016
NYKŠTUKŲ GRUPĖ,darželio,-,19,0,2015-2016
ZYLUČIŲ GRUPĖ,darželio,-,19,0,2015-2016
VYTURĖLIŲ GRUPĖ,priešmokyklinė,-,19,0,2015-2016
KREGŽDUČIŲ GRUPĖ,darželio,-,19,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Gandriukas“,11,205,0,-,
Kauno Motiejaus Valančiaus mokykla - darželis,,,,,
Katinėliai,lopšelio,-,15,0,2015-2016
Tigriukai,darželio,-,20,0,2015-2016
Iš viso: Kauno Motiejaus Valančiaus mokykla - darželis,2,35,0,-,
Kauno lopšelis-darželis „Židinėlis“,,,,,
Rudnosiukai,lopšelio,-,16,0,2015-2016
Kodėlčiukai,lopšelio,-,16,0,2015-2016
Žvirbliukai,lopšelio,-,16,0,2015-2016
Žiogeliai,darželio,-,21,0,2015-2016
Žirniukai,darželio,-,21,0,2015-2016
Nykštukai,darželio,-,21,0,2015-2016
Pelėdžiukai,darželio,-,21,0,2015-2016
Voveriukai,darželio,-,21,0,2015-2016
Smalsučiai,darželio,-,21,0,2015-2016
Zuikučiai,darželio,-,20,0,2015-2016
Pumpurėliai,darželio,-,21,0,2015-2016
Žiniukų mokyklėlė,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Židinėlis“,12,235,0,-,
Kauno lopšelis-darželis „Bitutė“,,,,,
Žiogelių gr.,lopšelio,-,15,0,2015-2016
Nykštukų gr.,lopšelio,-,15,0,2015-2016
Drugelių gr.,darželio,-,20,0,2015-2016
Boružėlių gr.,darželio,-,20,0,2015-2016
Saulučių gr.,darželio,-,20,0,2015-2016
Dobiliukų gr.,priešmokyklinė,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Bitutė“,6,110,0,-,
Kauno Simono Daukanto progimnazija,,,,,
Kauno Simono Daukanto progimnazijos priešmokyklinė grupė,priešmokyklinė,-,18,0,2015-2016
Iš viso: Kauno Simono Daukanto progimnazija,1,18,0,-,
